"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14"
"12",0.298076923,0.050909091,0.387234043,0.301538462,0.113432836,0.026666667,0.148648649,0.044897959,0.2,0.408955224,0.076521739,0.05,0.331428571,2.304347826,0.086153846
"13",0.262337662,0.325274725,0.217391304,0.16,0.493617021,0.0875,0.353846154,0.214084507,0.186813187,0.401769911,0.2,0.394827586,0.096875,2.234285714,0.310280374
"14",0.090721649,0.418181818,0.621052632,0.139240506,0.460377359,0.225862069,0.036363636,0.187096774,0.103225806,0.4625,0.1,0.016666667,0.40338983,0.29,0.332258064
"15",0.164705882,0.26446281,0.057142857,0.183505155,0.316417911,0.042105263,0.023853211,0.238461538,0.08,0.005194805,0.227272727,0.515384615,0.114285714,1.057142857,0.210526316
"16",0.176,0.185714286,0.163636364,0.085245902,0.377570093,0.158064516,0.25,0.269565217,0.093846154,0.296363636,0.429268293,0.126213592,0.655882353,0.59245283,0.598275862
"17",0.186666667,0.014545455,0.146153846,0.109278351,0.222018349,0.518811881,0.291304348,0.266019417,0.276923077,0.112328767,0.253333333,0.125,0.1,0.352,0.083333333
"18",0.098,0.145454545,0.676,0.1,0.088607595,0.262295082,0.264788732,0.0625,0.489552239,0.232432432,0.108108108,0.065116279,0.091262136,2.673469388,0.330769231
"19",0.75,0.19,0.042553191,0.252173913,0.014285714,0.755,0.106666667,0.002531646,0.237837838,0.1225,0.257142857,0.164948454,0.063013699,2.097674418,0.194029851
"20",0.123076923,0.08,0.405504587,0.309090909,1.071698114,0.509090909,0.041558442,0.248101266,0.503448276,0.269172932,0.362162162,0.028571429,0.3125,3.889473684,0.059813084
"21",0.091489362,0.016666667,0.64117647,0.210204082,0.144186046,0.28,0.08,0.053191489,0.303225806,0.718072289,0.044274809,2.6,0.060869565,1.242857143,0.223529412
"22",0.08,0.225531915,0.319512195,0.41971831,0.2,0.055,0.023853211,0.033663366,0.028571429,0.242857143,0.216129032,0.2,0.28,1.083333333,0.271428571
"23",0.148387097,0.01509434,0.364705882,0.02,0.411363636,0.431818182,0.033333333,0.120930233,0.375206612,0.023853211,0.117307692,0.139130435,0.003076923,0.055769231,0.371428571
"24",0.1,0.165714286,0.630769231,0.436170213,0.148387097,0.008163265,0.118918919,0.151219512,0.228571429,0.376470588,0.220338983,0.176271186,0.211570248,0.80661157,1.605263158
